구별,CCTV대수,전체 인구,여성 인구,65세고령자
강남구,2780,570500,297199,63167
강동구,773,453233,227806,54622
강북구,748,330192,168506,54813
강서구,884,603772,309339,72548
관악구,1496,525515,260752,68082
광진구,707,372164,191172,42214
구로구,1561,447874,223438,56833
금천구,1015,255082,124524,32970
노원구,1265,569384,292561,71941
도봉구,485,348646,177620,51312
동대문구,1294,369496,186564,54173
동작구,1091,412520,211303,56013
마포구,574,389649,203760,48765
서대문구,962,327163,170398,48161
서초구,1930,450310,234046,51733
성동구,1062,311244,157476,39997
성북구,1464,461260,237184,64692
송파구,618,667483,342443,72506
양천구,2034,479978,242861,52975
영등포구,904,402985,200412,52413
용산구,1624,244203,125071,36231
은평구,1873,494388,254168,72334
종로구,1002,162820,83145,25425
중구,671,133240,67450,20764
중랑구,660,414503,208401,56774
